Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,MEX,Mexico,2020,All,Age00,[0],19292.00000000,100.00000000,,901.18791253,
CSA,Central and South America,MEX,Mexico,2020,All,Age01_04,[1-4],3870.00000000,100.00000000,,43.88745804,
CSA,Central and South America,MEX,Mexico,2020,All,Age05_09,[5-9],2251.00000000,100.00000000,,20.07937374,
CSA,Central and South America,MEX,Mexico,2020,All,Age10_14,[10-14],3065.00000000,100.00000000,,27.51131397,
CSA,Central and South America,MEX,Mexico,2020,All,Age15_19,[15-19],9355.00000000,100.00000000,,83.45529731,
CSA,Central and South America,MEX,Mexico,2020,All,Age20_24,[20-24],15742.00000000,100.00000000,,143.89636098,
CSA,Central and South America,MEX,Mexico,2020,All,Age25_29,[25-29],20128.00000000,100.00000000,,186.44330768,
CSA,Central and South America,MEX,Mexico,2020,All,Age30_34,[30-34],22583.00000000,100.00000000,,230.67700837,
CSA,Central and South America,MEX,Mexico,2020,All,Age35_39,[35-39],27888.00000000,100.00000000,,306.79365102,
CSA,Central and South America,MEX,Mexico,2020,All,Age40_44,[40-44],37453.00000000,100.00000000,,438.97268226,
CSA,Central and South America,MEX,Mexico,2020,All,Age45_49,[45-49],53071.00000000,100.00000000,,662.08038779,
CSA,Central and South America,MEX,Mexico,2020,All,Age50_54,[50-54],67213.00000000,100.00000000,,970.59619037,
CSA,Central and South America,MEX,Mexico,2020,All,Age55_59,[55-59],85449.00000000,100.00000000,,1464.91014830,
CSA,Central and South America,MEX,Mexico,2020,All,Age60_64,[60-64],102266.00000000,100.00000000,,2190.10569760,
CSA,Central and South America,MEX,Mexico,2020,All,Age65_69,[65-69],108847.00000000,100.00000000,,3027.31275960,
CSA,Central and South America,MEX,Mexico,2020,All,Age70_74,[70-74],110842.00000000,100.00000000,,4493.51929780,
CSA,Central and South America,MEX,Mexico,2020,All,Age75_79,[75-79],108919.00000000,100.00000000,,6325.12314130,
CSA,Central and South America,MEX,Mexico,2020,All,Age80_84,[80-84],104087.00000000,100.00000000,,9833.38781260,
CSA,Central and South America,MEX,Mexico,2020,All,Age85_over,[85+],163468.00000000,100.00000000,,16688.71846400,
CSA,Central and South America,MEX,Mexico,2020,All,Age_unknown,[Unknown],4169.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Male,Age00,[0],10819.00000000,100.00000000,,987.23231851,
CSA,Central and South America,MEX,Mexico,2020,Male,Age01_04,[1-4],2190.00000000,100.00000000,,48.57072330,
CSA,Central and South America,MEX,Mexico,2020,Male,Age05_09,[5-9],1312.00000000,100.00000000,,22.89021803,
CSA,Central and South America,MEX,Mexico,2020,Male,Age10_14,[10-14],1792.00000000,100.00000000,,31.47823698,
CSA,Central and South America,MEX,Mexico,2020,Male,Age15_19,[15-19],6757.00000000,100.00000000,,118.64766595,
CSA,Central and South America,MEX,Mexico,2020,Male,Age20_24,[20-24],12054.00000000,100.00000000,,218.95817398,
CSA,Central and South America,MEX,Mexico,2020,Male,Age25_29,[25-29],15385.00000000,100.00000000,,285.74718664,
CSA,Central and South America,MEX,Mexico,2020,Male,Age30_34,[30-34],16818.00000000,100.00000000,,354.18156638,
CSA,Central and South America,MEX,Mexico,2020,Male,Age35_39,[35-39],20189.00000000,100.00000000,,464.77856084,
CSA,Central and South America,MEX,Mexico,2020,Male,Age40_44,[40-44],25966.00000000,100.00000000,,644.35950923,
CSA,Central and South America,MEX,Mexico,2020,Male,Age45_49,[45-49],35479.00000000,100.00000000,,937.91082670,
CSA,Central and South America,MEX,Mexico,2020,Male,Age50_54,[50-54],43565.00000000,100.00000000,,1346.24251090,
CSA,Central and South America,MEX,Mexico,2020,Male,Age55_59,[55-59],53233.00000000,100.00000000,,1941.04556770,
CSA,Central and South America,MEX,Mexico,2020,Male,Age60_64,[60-64],62033.00000000,100.00000000,,2859.62427010,
CSA,Central and South America,MEX,Mexico,2020,Male,Age65_69,[65-69],64191.00000000,100.00000000,,3873.45658530,
CSA,Central and South America,MEX,Mexico,2020,Male,Age70_74,[70-74],63986.00000000,100.00000000,,5682.63867120,
CSA,Central and South America,MEX,Mexico,2020,Male,Age75_79,[75-79],60753.00000000,100.00000000,,7844.38034390,
CSA,Central and South America,MEX,Mexico,2020,Male,Age80_84,[80-84],54783.00000000,100.00000000,,12012.07719900,
CSA,Central and South America,MEX,Mexico,2020,Male,Age85_over,[85+],75006.00000000,100.00000000,,19152.65230200,
CSA,Central and South America,MEX,Mexico,2020,Male,Age_unknown,[Unknown],3434.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Female,Age00,[0],8395.00000000,100.00000000,,803.47307097,
CSA,Central and South America,MEX,Mexico,2020,Female,Age01_04,[1-4],1679.00000000,100.00000000,,38.96385389,
CSA,Central and South America,MEX,Mexico,2020,Female,Age05_09,[5-9],939.00000000,100.00000000,,17.13877388,
CSA,Central and South America,MEX,Mexico,2020,Female,Age10_14,[10-14],1273.00000000,100.00000000,,23.36616711,
CSA,Central and South America,MEX,Mexico,2020,Female,Age15_19,[15-19],2596.00000000,100.00000000,,47.07520790,
CSA,Central and South America,MEX,Mexico,2020,Female,Age20_24,[20-24],3682.00000000,100.00000000,,67.75035338,
CSA,Central and South America,MEX,Mexico,2020,Female,Age25_29,[25-29],4741.00000000,100.00000000,,87.60738881,
CSA,Central and South America,MEX,Mexico,2020,Female,Age30_34,[30-34],5761.00000000,100.00000000,,114.27227149,
CSA,Central and South America,MEX,Mexico,2020,Female,Age35_39,[35-39],7696.00000000,100.00000000,,162.14527298,
CSA,Central and South America,MEX,Mexico,2020,Female,Age40_44,[40-44],11485.00000000,100.00000000,,255.09603472,
CSA,Central and South America,MEX,Mexico,2020,Female,Age45_49,[45-49],17586.00000000,100.00000000,,415.44758181,
CSA,Central and South America,MEX,Mexico,2020,Female,Age50_54,[50-54],23643.00000000,100.00000000,,640.92745942,
CSA,Central and South America,MEX,Mexico,2020,Female,Age55_59,[55-59],32207.00000000,100.00000000,,1042.10786190,
CSA,Central and South America,MEX,Mexico,2020,Female,Age60_64,[60-64],40197.00000000,100.00000000,,1607.76231180,
CSA,Central and South America,MEX,Mexico,2020,Female,Age65_69,[65-69],44656.00000000,100.00000000,,2303.87809500,
CSA,Central and South America,MEX,Mexico,2020,Female,Age70_74,[70-74],46856.00000000,100.00000000,,3494.84902100,
CSA,Central and South America,MEX,Mexico,2020,Female,Age75_79,[75-79],48164.00000000,100.00000000,,5083.12155420,
CSA,Central and South America,MEX,Mexico,2020,Female,Age80_84,[80-84],49302.00000000,100.00000000,,8183.74670920,
CSA,Central and South America,MEX,Mexico,2020,Female,Age85_over,[85+],88438.00000000,100.00000000,,15043.21364600,
CSA,Central and South America,MEX,Mexico,2020,Female,Age_unknown,[Unknown],402.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age00,[0],78.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age01_04,[1-4],1.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age05_09,[5-9],0.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age10_14,[10-14],0.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age15_19,[15-19],2.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age20_24,[20-24],6.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age25_29,[25-29],2.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age30_34,[30-34],4.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age35_39,[35-39],3.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age40_44,[40-44],2.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age45_49,[45-49],6.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age50_54,[50-54],5.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age55_59,[55-59],9.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age60_64,[60-64],36.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age65_69,[65-69],0.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age70_74,[70-74],0.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age75_79,[75-79],2.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age80_84,[80-84],2.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age85_over,[85+],24.00000000,100.00000000,,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age_unknown,[Unknown],333.00000000,100.00000000,,,
