지점명,일시,평균기온,년도
서울,2020-01-01,-2.2,2020
서울,2020-01-02,1,2020
서울,2020-01-03,-0.1,2020
서울,2020-01-04,1.2,2020
서울,2020-01-05,1.3,2020
서울,2020-01-06,3.1,2020
서울,2020-01-07,6.3,2020
서울,2020-01-08,2.4,2020
서울,2020-01-09,-1.2,2020
서울,2020-01-10,-0.6,2020
서울,2020-01-11,-0.1,2020
서울,2020-01-12,-1,2020
서울,2020-01-13,-2.9,2020
서울,2020-01-14,-2.3,2020
서울,2020-01-15,-2.7,2020
서울,2020-01-16,-1.7,2020
서울,2020-01-17,-0.6,2020
서울,2020-01-18,0.3,2020
서울,2020-01-19,1.9,2020
서울,2020-01-20,0.7,2020
서울,2020-01-21,-0.4,2020
서울,2020-01-22,3,2020
서울,2020-01-23,4.6,2020
서울,2020-01-24,2.8,2020
서울,2020-01-25,4.3,2020
서울,2020-01-26,5.5,2020
서울,2020-01-27,5.9,2020
서울,2020-01-28,6.8,2020
서울,2020-01-29,6,2020
서울,2020-01-30,5.2,2020
서울,2020-01-31,3.9,2020
서울,2020-02-01,2.6,2020
서울,2020-02-02,1.5,2020
서울,2020-02-03,-0.4,2020
서울,2020-02-04,-1.6,2020
서울,2020-02-05,-8.3,2020
서울,2020-02-06,-6.4,2020
서울,2020-02-07,-1.7,2020
서울,2020-02-08,-0.1,2020
서울,2020-02-09,-0.5,2020
서울,2020-02-10,4,2020
서울,2020-02-11,6.8,2020
서울,2020-02-12,7.4,2020
서울,2020-02-13,6.5,2020
서울,2020-02-14,8.1,2020
서울,2020-02-15,9.8,2020
서울,2020-02-16,-1.4,2020
서울,2020-02-17,-5.9,2020
서울,2020-02-18,-4.1,2020
서울,2020-02-19,1,2020
서울,2020-02-20,4.6,2020
서울,2020-02-21,6.7,2020
서울,2020-02-22,4,2020
서울,2020-02-23,2.5,2020
서울,2020-02-24,7,2020
서울,2020-02-25,6.7,2020
서울,2020-02-26,6.4,2020
서울,2020-02-27,6.1,2020
서울,2020-02-28,4.5,2020
서울,2020-03-01,5.8,2020
서울,2020-03-02,3.4,2020
서울,2020-03-03,4.8,2020
서울,2020-03-04,2.2,2020
서울,2020-03-05,1.4,2020
서울,2020-03-06,3.7,2020
서울,2020-03-07,7,2020
서울,2020-03-08,9.3,2020
서울,2020-03-09,11.1,2020
서울,2020-03-10,6.4,2020
서울,2020-03-11,3.8,2020
서울,2020-03-12,6.8,2020
서울,2020-03-13,4.9,2020
서울,2020-03-14,3.6,2020
서울,2020-03-15,4,2020
서울,2020-03-16,3.6,2020
서울,2020-03-17,6.6,2020
서울,2020-03-18,10,2020
서울,2020-03-19,9.1,2020
서울,2020-03-20,8.8,2020
서울,2020-03-21,12.8,2020
서울,2020-03-22,11,2020
서울,2020-03-23,10.6,2020
서울,2020-03-24,11.4,2020
서울,2020-03-25,12.5,2020
서울,2020-03-26,14.8,2020
서울,2020-03-27,11.9,2020
서울,2020-03-28,7.7,2020
서울,2020-03-29,8.7,2020
서울,2020-03-30,10.2,2020
