"학제별","설립별","대학명","지역별","입학정원 합(명)","평균입학금(원)","평균등록금(원)"
"대학","국공립","강릉원주대학교","강원","7412","0","4263041"
"대학","국공립","강원대학교","강원","18280","0","4121633"
"대학","국공립","경남과학기술대학교","경남","4736","0","3785514"
"대학","국공립","경북대학교","대구","19070","0","4499644"
"대학","국공립","경상국립대학교","경남","12603","0","4050073"
"대학","국공립","경인교육대학교","인천","2392","0","3189000"
"대학","국공립","공주교육대학교","충남","1416","0","3424000"
"대학","국공립","공주대학교","충남","10945","0","3823677"
"대학","국공립","광주과학기술원","광주","800","0","2060000"
"대학","국공립","광주교육대학교","광주","1304","0","3476500"
"대학","국공립","군산대학교","전북","6940","0","3934276"
"대학","국공립","금오공과대학교","경북","4849","0","3769118"
"대학","국공립","대구경북과학기술원","대구","880","0","5250000"
"대학","국공립","대구교육대학교","대구","1532","0","3604000"
"대학","국공립","목포대학교","전남","6452","0","3904433"
"대학","국공립","목포해양대학교","전남","2764","0","3409436"
"대학","국공립","부경대학교","부산","13121","0","4039301"
"대학","국공립","부산교육대학교","부산","1424","0","3024000"
"대학","국공립","부산대학교","부산","17290","0","4462530"
"대학","국공립","서울과학기술대학교","서울","8381","0","5445457"
"대학","국공립","서울교육대학교","서울","1419","0","3088000"
"대학","국공립","서울대학교","서울","13168","0","6011819"
"대학","국공립","서울시립대학교","서울","6866","0","2393269"
"대학","국공립","순천대학교","전남","6539","0","3948141"
"대학","국공립","안동대학교","경북","5824","0","3749659"
"대학","국공립","울산과학기술원","울산","1480","0","6193205"
"대학","국공립","인천대학교","인천","9968","0","4634033"
"대학","국공립","전남대학교","광주","16510","0","4150841"
"대학","국공립","전북대학교","전북","15638","0","4387185"
"대학","국공립","전주교육대학교","전북","1140","0","3272000"
"대학","국공립","제주대학교","제주","8520","0","3889230"
"대학","국공립","진주교육대학교","경남","1276","0","3445600"
"대학","국공립","창원대학교","경남","7037","0","3893708"
"대학","국공립","청주교육대학교","충북","1144","0","3230000"
"대학","국공립","춘천교육대학교","강원","1304","0","3185690"
"대학","국공립","충남대학교","대전","14391","0","4363275"
"대학","국공립","충북대학교","충북","11390","0","4272979"
"대학","국공립","한경대학교","경기","4645","0","4084510"
"대학","국공립","한국과학기술원","대전","3880","0","6866000"
"대학","국공립","한국교원대학교","충북","2184","0","3181645"
"대학","국공립","한국교통대학교","충북","7671","0","4106442"
"대학","국공립","한국방송통신대학교","서울","243000","0","758603"
"대학","국공립","한국예술종합학교","서울","2252","0","4806455"
"대학","국공립","한국전통문화대학교(일반)","충남","560","0","3268786"
"대학","국공립","한국체육대학교","서울","2170","0","3859452"
"대학","국공립","한국해양대학교","부산","5692","0","3727210"
"대학","국공립","한밭대학교","대전","7408","0","4449333"
"대학","사립","가야대학교","경남","2317","120000","6758560"
"대학","사립","가천대학교","경기","15474","318000","8249739"
"대학","사립","가톨릭관동대학교","강원","8393","154000","7165674"
"대학","사립","가톨릭대학교","경기","7166","316600","7222714"
"대학","사립","감리교신학대학교","서울","800","165400","6267300"
"대학","사립","강남대학교","경기","5964","321000","7450968"
"대학","사립","건국대학교","서울","18334","334000","8177461"
"대학","사립","건양대학교","충남","6800","126000","6780653"
"대학","사립","건양사이버대학교","대전","2975","166000","2437647"
"대학","사립","경기대학교","경기","11757","143000","7276691"
"대학","사립","경남대학교","경남","11391","112400","6500790"
"대학","사립","경동대학교","강원","6999","280800","7807321"
"대학","사립","경성대학교","부산","11210","100000","6553706"
"대학","사립","경운대학교","경북","4736","140000","7671096"
"대학","사립","경일대학교","경북","6356","140000","7376748"
"대학","사립","경주대학교","경북","3048","148000","7004738"
"대학","사립","경희대학교","서울","19683","328320","7935660"
"대학","사립","경희사이버대학교","서울","9100","166000","2779780"
