id,gender,residence,age,q11,q12,q13,q14,q21,q22,q23,q24,q31,q32,q33,q34
1,1,1,3,5,4,4,4,5,5,3,4,3,4,1,4
2,2,1,3,5,4,4,3,4,4,3,5,4,4,2,4
3,1,1,2,4,4,2,2,4,5,4,4,4,4,1,4
4,2,1,3,5,3,3,3,5,4,2,3,2,2,2,4
5,1,1,3,5,3,3,3,3,4,2,3,2,2,1,4
6,2,1,3,5,3,3,3,4,3,2,3,2,2,2,4
7,1,1,2,4,2,2,3,3,5,2,2,2,3,1,4
8,2,1,2,4,5,2,1,1,3,4,4,3,2,1,4
9,1,1,3,5,3,4,4,3,2,1,2,1,2,2,4
10,2,1,2,4,5,3,2,2,5,2,2,2,5,1,3
11,1,1,3,5,3,3,2,3,4,4,5,3,3,1,3
12,2,1,3,5,4,4,4,4,5,3,4,3,3,1,3
13,1,1,3,5,4,4,3,5,5,3,4,3,4,1,3
14,2,1,2,4,4,3,2,3,5,4,5,2,5,2,3
15,1,1,2,4,3,2,4,2,4,3,3,3,4,1,3
16,2,1,3,5,3,2,3,2,4,3,3,2,2,2,3
17,1,1,2,4,3,4,3,3,3,4,3,4,3,1,3
18,2,1,3,5,3,3,4,4,5,2,4,2,3,2,3
19,1,1,1,3,4,2,4,3,4,1,3,3,3,2,3
20,2,1,2,4,3,2,3,2,3,2,2,2,2,2,3
21,1,1,3,5,3,4,4,5,5,3,3,3,3,1,3
22,2,1,2,4,4,4,3,3,5,3,5,2,3,2,3
23,1,1,2,4,3,4,4,5,5,2,5,2,2,2,3
24,2,1,2,4,5,2,1,1,3,4,3,4,2,1,3
25,1,1,3,5,4,2,4,4,5,2,3,2,2,2,3
26,2,1,3,5,4,2,1,2,3,4,3,4,2,2,3
27,1,1,2,4,4,4,3,4,4,4,3,3,2,1,3
28,2,1,1,5,2,4,4,3,4,2,3,2,3,2,3
29,1,1,3,5,3,3,2,4,4,2,3,2,2,1,3
30,2,1,1,5,3,4,4,4,4,4,4,2,3,2,3
31,1,1,1,5,3,2,3,5,5,2,4,2,2,2,3
32,2,1,3,5,1,1,5,1,1,1,5,1,1,2,3
33,1,1,2,4,4,4,3,3,4,3,2,3,3,2,3
34,2,1,2,4,3,4,5,5,3,3,4,2,2,2,3
35,1,1,3,5,4,4,4,2,4,3,3,4,4,2,3
36,2,1,1,1,2,3,3,5,5,3,3,3,1,1,3
37,1,1,3,5,3,3,3,3,4,5,4,2,3,1,4
38,2,1,2,4,5,2,1,1,3,4,3,4,2,1,3
39,1,1,2,4,5,2,1,1,3,4,3,4,2,1,3
40,2,1,1,3,3,3,4,3,4,3,3,3,1,1,3
201,1,2,1,4,3,2,3,2,4,2,4,2,2,1,3
203,1,2,1,4,5,2,1,1,3,4,3,4,2,1,3
205,1,2,2,4,3,3,4,3,5,4,4,3,3,1,3
207,1,2,2,4,2,4,4,3,4,2,4,2,3,2,3
209,1,2,3,5,3,3,4,3,5,2,4,2,2,2,3
211,1,2,2,4,4,4,3,2,4,4,3,4,4,2,3
213,1,2,3,5,4,5,5,5,5,4,5,3,3,1,3
215,1,2,1,5,4,5,4,5,4,5,3,2,4,1,3
217,1,2,1,5,2,3,4,4,5,2,4,2,3,1,3
219,1,2,2,4,3,3,3,4,4,3,2,3,3,2,3
202,2,2,3,5,4,3,5,5,2,4,2,2,2,1,3
204,2,2,1,4,5,2,1,1,3,4,3,4,2,2,3
206,2,2,2,4,3,3,3,2,4,3,3,3,3,1,3
208,2,2,3,5,4,2,1,2,3,4,3,4,2,2,3
210,2,2,2,4,3,2,2,4,2,5,3,4,1,2,2
212,2,2,3,5,4,4,3,4,4,3,3,2,1,1,3
214,2,2,1,5,4,4,4,4,4,3,4,2,2,2,3
216,2,2,3,5,4,3,2,1,2,3,4,5,4,2,3
218,2,2,3,5,4,4,2,5,5,4,3,4,4,2,3
220,2,2,1,1,3,4,4,4,5,5,3,4,2,1,4
222,2,2,2,4,3,3,2,5,5,2,5,2,2,2,3
224,2,2,2,4,4,4,4,3,5,5,5,5,5,1,4
226,2,2,1,5,4,3,4,2,4,3,5,2,2,2,4
228,2,2,3,5,4,4,4,4,4,3,4,3,3,1,4
230,2,2,2,4,3,4,4,4,3,4,4,4,3,2,4
232,2,2,3,5,3,3,4,4,5,3,5,3,3,2,4
234,2,2,1,4,3,2,4,2,3,2,3,2,3,2,4
236,2,2,2,4,5,2,1,1,3,4,3,4,2,1,4
238,2,2,3,5,4,4,4,5,5,3,3,3,3,2,4
240,2,2,3,5,4,4,4,3,5,4,5,3,3,1,4
301,1,3,3,5,4,5,3,3,4,5,5,3,4,1,2
303,1,3,1,3,4,5,5,4,3,3,4,3,4,1,2
305,1,3,2,3,2,3,5,5,3,2,3,2,3,1,2
307,1,3,1,3,2,2,3,2,4,2,4,3,2,2,2
309,1,3,2,4,3,3,4,3,4,3,3,4,3,2,2
311,1,3,2,4,4,3,2,5,4,2,3,4,4,1,2
313,1,3,2,4,3,3,3,5,3,3,2,3,4,1,2
315,1,3,2,4,4,4,2,2,4,4,3,2,3,1,2
317,1,3,1,3,3,3,4,4,5,2,5,2,2,2,2
319,1,3,3,5,4,4,4,5,5,3,4,4,4,2,2
321,1,3,1,3,1,1,1,1,3,2,4,1,3,1,2
323,1,3,2,4,2,2,4,5,5,1,2,1,2,2,2
325,1,3,3,5,3,3,4,4,4,2,3,2,2,2,2
327,1,3,2,4,3,5,3,4,3,3,3,3,3,1,2
329,1,3,3,5,3,2,2,3,5,2,5,4,4,1,2
302,2,3,3,5,3,4,3,3,5,4,5,1,1,1,2
304,2,3,1,3,3,4,4,2,4,4,4,2,4,1,2
306,2,3,3,5,3,4,3,3,4,2,3,3,3,2,4
308,2,3,1,3,2,2,3,2,4,2,4,3,2,1,2
310,2,3,1,3,3,2,4,2,3,3,3,3,3,2,2
312,2,3,3,5,2,3,4,3,3,3,4,2,2,1,2
314,2,3,2,4,5,5,4,3,4,4,3,3,3,2,2
316,2,3,3,5,4,4,5,2,5,3,4,2,2,1,2
318,2,3,1,3,2,3,2,2,3,2,3,2,3,1,2
320,2,3,3,5,3,5,4,4,5,2,3,3,3,1,2
322,2,3,3,5,3,3,4,5,4,4,4,3,4,1,2
324,2,3,2,4,3,3,4,3,4,3,4,3,4,2,2
326,2,3,3,5,3,3,4,4,4,2,3,2,2,1,2
328,2,3,2,4,3,3,5,4,5,2,4,2,2,1,2
330,2,3,3,5,3,2,3,4,4,2,3,2,2,2,2
401,1,4,3,5,4,3,3,2,5,3,2,3,4,2,3
403,1,4,3,5,1,3,4,2,4,3,3,3,3,2,3
405,1,4,2,4,4,3,3,2,5,5,4,5,4,1,3
407,1,4,1,3,3,3,3,3,3,3,3,3,3,1,3
409,1,4,1,3,3,3,3,3,3,3,3,3,3,1,3
411,1,4,3,5,4,4,3,1,3,3,3,3,4,1,3
413,1,4,2,5,3,4,2,2,4,2,5,2,1,2,3
415,1,4,2,5,3,2,4,3,4,2,2,2,2,1,3
417,1,4,3,5,4,3,2,1,3,3,3,4,3,1,3
419,1,4,2,4,3,2,2,3,4,4,3,2,3,2,3
421,1,4,3,5,3,5,5,5,5,3,4,2,2,1,2
423,1,4,1,1,2,3,3,4,5,2,2,2,2,1,2
425,1,4,3,5,3,3,2,5,5,1,5,2,2,2,2
427,1,4,1,5,3,3,4,4,4,3,5,2,3,1,2
429,1,4,2,5,3,4,5,5,5,4,4,2,1,1,2
431,1,4,3,5,2,3,4,4,5,1,5,2,2,2,2
433,1,4,3,5,4,2,5,2,5,3,4,2,2,2,2
435,1,4,1,3,3,4,3,3,4,3,4,3,3,2,2
437,1,4,1,2,2,3,4,4,4,2,3,2,2,2,2
439,1,4,3,5,4,1,5,5,5,2,5,2,2,1,2
412,2,4,2,4,4,4,4,4,4,3,2,4,3,1,3
414,2,4,1,5,3,4,4,3,4,3,2,2,3,2,3
416,2,4,3,5,1,4,4,1,3,1,1,1,1,2,3
418,2,4,3,5,4,4,5,4,5,4,5,5,4,2,3
420,2,4,2,4,3,3,2,3,2,3,3,2,4,1,3
422,2,4,1,3,3,3,3,3,3,3,3,3,3,1,2
424,2,4,2,4,4,3,2,5,5,3,4,3,3,1,2
426,2,4,2,4,5,2,1,1,3,4,3,4,2,1,2
428,2,4,1,3,3,3,3,3,3,2,4,2,2,1,2
430,2,4,3,5,2,3,4,5,5,2,4,2,2,2,2
