케	손	알	에
87	83	0	90
75	90	0	0
90	1	0	90
79	0	90	90
86	90	90	85
0	65	88	0
90	7	83	90
90	90	86	90
90	32	82	90
90	22	90	90
90	70	90	88
85	5	90	71
90	74	90	90
89	0	90	73
87	3	90	75
85	75	90	90
88	69	90	81
0	62	90	90
77	90	0	90
75	15	75	90
90	90	90	90
90	33	90	77
90	77	86	64
90	86	67	90
90	90	16	90
90	77	84	90
90	78	87	90
90	76	84	90
22	90	90	90
90	90	90	90
90	90	90	87
90	70	90	0
90	80	88	90
90	90	90	90
90	70	85	90
90	10	90	90
90	70	83	90
34	90	86	90
16	74	90	90
90	67	89	90
90	26	84	90
85	90	0	90
90	74	82	90
90	23	67	90
90	77	90	90
90	6	16	90
79	31	25	0
90	45	24	0
0	61	12	29
14	90	19	0
0	67	23	0
0	90	9	90
90	86	90	90
0	90	90	0
0	83	90	9
